Name,Latitude,Longitude,Location Type,Individual Link
Christ's,52.2052,0.1217,College,College
Churchill,52.2139,0.103,College,College
Clare,52.2051,0.1158,College,College
Clare Hall,52.2041,0.1045,College,College
Corpus Christi,52.2036,0.1193,College,College
Darwin,52.201,0.1147,College,College
Downing,52.2007,0.1248,College,College
Emmanuel,52.2033,0.126,College,College
Fitzwilliam,52.2152,0.1102,College,College
Girton,52.2286,0.0839,College,College
Gonville and Caius,52.2055,0.1189,College,College
Homerton,52.1851,0.1367,College,College
Hughes Hall,52.1994,0.1336,College,College
Jesus,52.2073,0.1218,College,College
King's,52.2045,0.1171,College,College
Lucy Cavendish,52.2111,0.1099,College,College
Magdalene,52.21,0.1175,College,College
Murray Edwards,52.2141,0.1092,College,College
Newnham,52.1997,0.1078,College,College
Pembroke,52.2019,0.1221,College,College
Peterhouse,52.201,0.1205,College,College
Queens',52.2025,0.1156,College,College
Robinson,52.2065,0.1082,College,College
St Catharine's,52.2039,0.1177,College,College
St Edmund's,52.2125,0.1086,College,College
St John's,52.2079,0.1171,College,College
Trinity,52.207,0.117,College,College
Selwyn,52.2005,0.1056,College,College
Trinity Hall,52.206,0.116,College,College
Sidney Sussex,52.2065,0.1232,College,College
The Eagle,52.2043,0.1197,Pub,College
The Anchor,52.2021,0.1165,Pub,College
The Mill,52.2012,0.1166,Pub,College
The Maypole,52.2084,0.1191,Pub,College
The Free Press,52.2005,0.1284,Pub,College
The Pickerel Inn,52.2096,0.1174,Pub,College
The Mitre,52.209,0.1179,Pub,College
The Castle Inn,52.2112,0.1147,Pub,College
The Pint Shop,52.2035,0.1207,Pub,College
The Cambridge Blue,52.1965,0.1381,Pub,College
The Bath House,52.2018,0.1232,Pub,College
The Old Spring,52.2145,0.1292,Pub,College
The Punter,52.211,0.116,Pub,College
The Haymakers,52.2166,0.1378,Pub,College
The Waterman,52.2139,0.1368,Pub,College
The Grain & Hop Store,52.2024,0.125,Pub,College
The Tivoli,52.2075,0.1332,Pub,College
The Orator,52.204,0.12,Pub,College
The Baron of Beef,52.2089,0.1175,Pub,College
The Champion of the Thames,52.2057,0.1182,Pub,College
MASH,52.2052,0.1202,Club,
Lola Lo,52.2046,0.1207,Club,
Revolution,52.202,0.1245,Club,
Vinyl,52.2043,0.1208,Club,
Sainsbury's (Sidney Street),52.2061,0.1215,Supermarket,College
Tesco Superstore (Newmarket Rd),52.2118,0.1506,Supermarket,College
Aldi Histon Road,52.21945,0.11071,Supermarket,College
"Tesco Express, Christ's Lane",52.2061,0.1218,Supermarket,College
"Co-op, Mill Road	",52.1995,0.1383,Supermarket,College
"Co-op, Hills Road	",52.1938,0.1303,Supermarket,College
"Tesco Express, Petty Cury",52.2045,0.1208,Supermarket,College
M&S Foodhall (Market Square),52.2051,0.1195,Supermarket,
University Library,52.2049,0.1093,Library,
Parker's Piece,52.2018,0.1287,Outside,
Jesus Green,52.2114,0.1206,Outside,
Grand Arcade Shopping Centre,52.2033,0.1221,Supermarket,
Christ's College bar,52.2052,0.1217,College Bar,College
Churchill College bar,52.2139,0.103,College Bar,College
Clare College bar,52.2051,0.1158,College Bar,College
Clare Hall bar,52.2041,0.1045,College Bar,College
Corpus Christi College bar,52.2036,0.1193,College Bar,College
Darwin College bar,52.201,0.1147,College Bar,College
Downing College bar,52.2007,0.1248,College Bar,College
Emmanuel College bar,52.2033,0.126,College Bar,College
Fitzwilliam College bar,52.2152,0.1102,College Bar,College
Girton College bar,52.2286,0.0839,College Bar,College
Gonville & Caius College bar,52.2055,0.1189,College Bar,College
Homerton College bar,52.1851,0.1367,College Bar,College
Hughes Hall bar,52.1994,0.1336,College Bar,College
Jesus College bar,52.2073,0.1218,College Bar,College
King's College bar,52.2045,0.1171,College Bar,College
Lucy Cavendish College bar,52.2111,0.1099,College Bar,College
Magdalene College bar,52.21,0.1175,College Bar,College
Murray Edwards College bar,52.2141,0.1092,College Bar,College
