College:,Course:,Number of Students:
Christ's,Architecture Tripos,2
Christ's,Asian & Middle Eastern Studies,1
Christ's,Chem Eng via Engineering,1
Christ's,Chem Eng via Nat Sciences,1
Christ's,Classical Tripos,4
Christ's,Classical Tripos Four Year,2
Christ's,Computer Science Tripos,4
Christ's,Economics Tripos,6
Christ's,Education Tripos,1
Christ's,Engineering Tripos,7
Christ's,English Tripos,8
Christ's,Geographical Tripos,4
Christ's,Historical Tripos,8
Christ's,History of Art Tripos,1
Christ's,"Hum, Soc & Pol Sciences Tripos",5
Christ's,Land Economy Tripos,1
Christ's,Law Tripos,9
Christ's,Linguistics Tripos,2
Christ's,Mathematical Tripos,10
Christ's,Medicine,13
Christ's,Mod & Med Langs Tripos,5
Christ's,Music Tripos,2
Christ's,Natural Sciences Tripos,23
Christ's,Philosophy Tripos,1
Christ's,Psych & Behav Sciences Tripos,3
Christ's,"Theo,Relig,&Philo of Re Tripos",1
Churchill,Architecture Tripos,3
Churchill,Asian & Middle Eastern Studies,2
Churchill,Chem Eng via Engineering,2
Churchill,Chem Eng via Nat Sciences,3
Churchill,Classical Tripos,1
Churchill,Classical Tripos Four Year,1
Churchill,Computer Science Tripos,10
Churchill,Economics Tripos,4
Churchill,Education Tripos,1
Churchill,Engineering Tripos,17
Churchill,English Tripos,6
Churchill,Geographical Tripos,5
Churchill,Historical Tripos,5
Churchill,History & Politics Tripos,3
Churchill,History and Mod Lang Tripos,1
Churchill,History of Art Tripos,1
Churchill,"Hum, Soc & Pol Sciences Tripos",4
Churchill,Law Tripos,5
Churchill,Linguistics Tripos,1
Churchill,Mathematical Tripos,14
Churchill,Medicine,11
Churchill,Mod & Med Langs Tripos,5
Churchill,Music Tripos,2
Churchill,Natural Sciences Tripos,28
Churchill,Philosophy Tripos,1
Churchill,Psych & Behav Sciences Tripos,2
Churchill,Veterinary Medicine,1
Clare,Archaeology Tripos,1
Clare,Architecture Tripos,2
Clare,Asian & Middle Eastern Studies,2
Clare,Chem Eng via Nat Sciences,1
Clare,Classical Tripos,1
Clare,Classical Tripos Four Year,1
Clare,Computer Science Tripos,4
Clare,Economics Tripos,5
Clare,Education Tripos,1
Clare,Engineering Tripos,11
Clare,English Tripos,8
Clare,Geographical Tripos,4
Clare,Historical Tripos,6
Clare,History & Politics Tripos,2
Clare,History and Mod Lang Tripos,1
Clare,History of Art Tripos,1
Clare,"Hum, Soc & Pol Sciences Tripos",6
Clare,Land Economy Tripos,2
Clare,Law Tripos,10
Clare,Mathematical Tripos,9
Clare,Medicine,11
Clare,Mod & Med Langs Tripos,8
Clare,Music Tripos,5
Clare,Natural Sciences Tripos,21
Clare,Philosophy Tripos,2
Clare,Psych & Behav Sciences Tripos,3
Clare,"Theo,Relig,&Philo of Re Tripos",1
Clare,Veterinary Medicine,3
Corpus Christi,ASNC Tripos,2
Corpus Christi,Archaeology Tripos,1
Corpus Christi,Architecture Tripos,2
Corpus Christi,Asian & Middle Eastern Studies,1
Corpus Christi,Classical Tripos,1
Corpus Christi,Computer Science Tripos,3
Corpus Christi,Economics Tripos,2
Corpus Christi,Engineering Tripos,7
Corpus Christi,English Tripos,7
Corpus Christi,Geographical Tripos,3
Corpus Christi,Historical Tripos,6
Corpus Christi,History & Politics Tripos,1
Corpus Christi,History of Art Tripos,2
Corpus Christi,"Hum, Soc & Pol Sciences Tripos",5
Corpus Christi,Law Tripos,6
Corpus Christi,Linguistics Tripos,1
Corpus Christi,Mathematical Tripos,7
Corpus Christi,Medicine,8
Corpus Christi,Mod & Med Langs Tripos,5
Corpus Christi,Music Tripos,2
Corpus Christi,Natural Sciences Tripos,16
Corpus Christi,Philosophy Tripos,3
Corpus Christi,Psych & Behav Sciences Tripos,3
Corpus Christi,"Theo,Relig,&Philo of Re Tripos",3
Downing,Archaeology Tripos,1
Downing,Architecture Tripos,2
Downing,Asian & Middle Eastern Studies,2
Downing,Chem Eng via Engineering,1
Downing,Classical Tripos,3
Downing,Classical Tripos Four Year,3
Downing,Computer Science Tripos,5
Downing,Economics Tripos,3
Downing,Education Tripos,1
Downing,Engineering Tripos,12
Downing,English Tripos,5
Downing,Geographical Tripos,5
Downing,Historical Tripos,6
Downing,History & Politics Tripos,1
Downing,History and Mod Lang Tripos,1
Downing,History of Art Tripos,2
Downing,"Hum, Soc & Pol Sciences Tripos",5
Downing,Land Economy Tripos,2
Downing,Law Tripos,12
Downing,Linguistics Tripos,2
Downing,Mathematical Tripos,7
Downing,Medicine,15
Downing,Mod & Med Langs Tripos,3
Downing,Music Tripos,2
Downing,Natural Sciences Tripos,17
Downing,Philosophy Tripos,1
Downing,Psych & Behav Sciences Tripos,4
Downing,"Theo,Relig,&Philo of Re Tripos",2
Downing,Veterinary Medicine,2
Emmanuel,Architecture Tripos,2
Emmanuel,Asian & Middle Eastern Studies,2
Emmanuel,Chem Eng via Engineering,1
Emmanuel,Chem Eng via Nat Sciences,1
Emmanuel,Classical Tripos,1
Emmanuel,Classical Tripos Four Year,2
Emmanuel,Computer Science Tripos,3
Emmanuel,Economics Tripos,6
Emmanuel,Education Tripos,1
Emmanuel,Engineering Tripos,14
Emmanuel,English Tripos,6
Emmanuel,Geographical Tripos,7
Emmanuel,Historical Tripos,5
Emmanuel,History & Politics Tripos,3
Emmanuel,History and Mod Lang Tripos,2
Emmanuel,History of Art Tripos,1
Emmanuel,"Hum, Soc & Pol Sciences Tripos",6
Emmanuel,Law Tripos,6
Emmanuel,Linguistics Tripos,1
Emmanuel,Mathematical Tripos,12
Emmanuel,Medicine,15
Emmanuel,Mod & Med Langs Tripos,5
Emmanuel,Music Tripos,2
Emmanuel,Natural Sciences Tripos,27
Emmanuel,Philosophy Tripos,1
Emmanuel,Psych & Behav Sciences Tripos,1
Emmanuel,"Theo,Relig,&Philo of Re Tripos",2
Emmanuel,Veterinary Medicine,3
Fitzwilliam,ASNC Tripos,1
Fitzwilliam,Archaeology Tripos,2
Fitzwilliam,Architecture Tripos,1
Fitzwilliam,Asian & Middle Eastern Studies,1
Fitzwilliam,Chem Eng via Engineering,1
