Subject,Group Adaption size,Social Propensity Value 5-9 (baseline 7),Club Variation,Club Propensity Value (baseline 7),Female Probability
Architecture Tripos,0,7,0,7,0.727
Asian & Middle Eastern Studies,0,7,-1,6,0.63
Chem Eng via Engineering,-1,6,-1,6,0.262
Chem Eng via Nat Sciences,-1,6,-1,6,0.421
Classical Tripos,1,8,1,8,0.623
Classical Tripos Four Year,1,8,1,8,0.703
Computer Science Tripos,-2,5,-4,3,0.199
Economics Tripos,0,7,0,7,0.371
Education Tripos,0,7,1,8,0.878
Engineering Tripos,-1,6,-1,6,0.262
English Tripos,1,8,2,9,0.751
Geographical Tripos,1,8,1,8,0.708
Historical Tripos,1,8,1,8,0.602
History of Art Tripos,1,8,3,10,0.9
"Hum, Soc & Pol Sciences Tripos",1,8,3,10,0.738
Land Economy Tripos,0,7,0,7,0.406
Law Tripos,0,7,0,7,0.636
Linguistics Tripos,2,9,2,9,0.71
Mathematical Tripos,-2,5,-4,3,0.194
Medicine,0,7,-1,6,0.513
Mod & Med Langs Tripos,1,8,2,9,0.701
Music Tripos,1,8,3,10,0.423
Natural Sciences Tripos,-1,6,-1,6,0.421
Philosophy Tripos,2,9,1,8,0.549
Psych & Behav Sciences Tripos,2,9,1,8,0.828
"Theo,Relig,&Philo of Re Tripos",0,7,-2,5,0.581
History & Politics Tripos,1,8,0,7,0.49
History and Mod Lang Tripos,2,9,1,8,0.733
Veterinary Medicine,0,7,-1,6,0.828
Archaeology Tripos,2,9,0,7,0.714
ASNC Tripos,1,8,0,7,0.545
Theol for Ministry Exam,0,7,-5,2,0.581
Medicine (Graduate Course),0,7,-4,3,0.757
