time,disease,source_student,target_student,location
12,A,8606,6700,Canteen
12,A,5623,111,English Tripos Library
12,A,8887,7385,Fitzbillies
12,A,5942,5565,Lucy Cavendish Library
12,A,1213,3918,Music Tripos Library
12,A,967,6797,Other
12,A,967,9296,Other
12,B,4629,4661,Jesus Library
12,B,10438,10495,Trinity Canteen
12,C,6248,969,Michaelhouse Cafe
12,C,10438,10607,Trinity Canteen
12,D,1213,3915,Music Tripos Library
12,E,7089,6724,Canteen
13,A,5908,7156,Canteen
13,A,5623,7151,English Tripos Library
13,A,5279,6783,"Hum, Soc & Pol Sciences Tripos Library"
13,A,5942,5514,Lucy Cavendish Library
13,A,5942,5705,Lucy Cavendish Library
13,A,5942,5740,Lucy Cavendish Library
13,A,5942,5904,Lucy Cavendish Library
13,A,5942,5936,Lucy Cavendish Library
13,A,3678,2117,Other
13,A,6700,2447,Other
13,A,3678,2685,Other
13,A,7089,6382,Other
13,A,111,7730,Other
13,A,10438,10791,Trinity Library
13,A,10438,11057,Trinity Library
13,B,3538,3663,Gonville and Caius Canteen
13,C,5623,8321,English Tripos Library
13,C,6248,6077,Magdalene Canteen
13,D,8893,5074,Other
14,A,111,6062,English Tripos Library
14,A,6783,10690,"Hum, Soc & Pol Sciences Tripos Library"
14,A,5936,5544,Lucy Cavendish Library
14,A,5565,5871,Lucy Cavendish Library
14,A,8893,2899,Music Tripos Library
14,A,6382,781,Other
14,A,6700,4422,Other
14,A,10791,4722,Other
14,A,6382,5618,Other
14,A,5705,6959,Other
14,A,5942,8908,Other
14,A,1213,9396,Other
14,A,5908,10288,Other
14,A,11057,10577,Trinity Library
14,A,11057,10627,Trinity Library
14,A,7934,3418,University Library
14,B,3678,7318,Other
14,B,3663,7973,Other
14,B,5908,8421,Other
14,B,5942,11146,Other
14,C,8606,1650,Archaeology Tripos Library
14,D,8893,10264,Music Tripos Library
14,D,1213,6628,Other
14,D,5908,7996,Other
14,E,8606,9834,Archaeology Tripos Library
14,E,5279,11198,"Hum, Soc & Pol Sciences Tripos Library"
14,F,5623,5922,Other
15,A,8606,5500,Archaeology Tripos Library
15,A,9396,5121,Computer Science Tripos Library
15,A,3678,3897,Gonville and Caius Library
15,A,10690,2271,"Hum, Soc & Pol Sciences Tripos Library"
15,A,4422,5774,Medicine Library
15,A,1213,8104,Music Tripos Library
15,A,5279,96,Other
15,A,2447,1810,Other
15,A,5514,2388,Other
15,A,2117,2758,Other
15,A,6382,2799,Other
15,A,7730,2813,Other
15,A,6700,3542,Other
15,A,6700,3802,Other
15,A,7730,4359,Other
15,A,6700,5298,Other
15,A,7156,5439,Other
15,A,5908,7269,Other
15,A,2685,8492,Other
15,A,2117,9925,Other
15,A,5544,3943,Sainsbury's (Sidney Street)
15,A,8908,9004,Selwyn Library
15,A,10288,10171,St John's Library
15,A,10627,9612,The Copper Kettle
15,A,7934,2862,University Library
15,B,967,1002,Clare Library
15,B,11146,7527,English Tripos Library
15,B,4629,4803,Jesus Library
15,B,5279,8378,Other
15,B,8885,9465,Other
15,B,7089,7192,Pembroke Library
15,B,7934,497,University Library
15,B,7934,9638,University Library
15,C,7089,7215,Pembroke Library
15,D,967,1235,Clare Library
15,D,5623,11153,English Tripos Library
15,D,6248,514,The Copper Kettle
15,E,5623,2678,English Tripos Library
15,E,8949,500,Other
15,E,7089,7015,Pembroke Library
15,F,3538,11104,Economics Tripos Library
16,A,5500,10400,Archaeology Tripos Library
16,A,9396,3534,Computer Science Tripos Library
16,A,9396,9887,Computer Science Tripos Library
16,A,96,1740,Engineering Tripos Library
16,A,96,8674,Engineering Tripos Library
16,A,967,10583,Engineering Tripos Library
16,A,4722,97,English Tripos Library
16,A,4722,4734,English Tripos Library
16,A,4722,8318,English Tripos Library
16,A,4722,8709,English Tripos Library
16,A,3897,3640,Gonville and Caius Library
16,A,4359,4553,Hot Numbers Coffee
16,A,5871,5735,Lucy Cavendish Library
16,A,5665,5752,Lucy Cavendish Library
16,A,6248,5963,Magdalene Library
16,A,6248,6238,Magdalene Library
16,A,5774,4877,Medicine Library
16,A,4422,9628,Medicine Library
16,A,2899,1557,Music Tripos Library
16,A,1213,8110,Music Tripos Library
16,A,2899,9685,Music Tripos Library
16,A,2899,10264,Music Tripos Library
16,A,2447,6931,Natural Sciences Tripos Library
16,A,10791,920,Other
16,A,7934,1931,Other
16,A,5121,3131,Other
16,A,5298,3841,Other
16,A,4629,5573,Other
16,A,2685,5680,Other
16,A,10791,6258,Other
16,A,5544,6264,Other
16,A,10791,6658,Other
16,A,5908,8465,Other
16,A,2862,8873,Other
16,A,3802,9741,Other
16,A,8887,10173,Other
16,A,9925,10315,Other
16,A,8908,8846,Selwyn Library
16,A,10171,10014,St John's Library
16,A,11057,10726,Trinity Library
16,A,1810,857,University Library
16,A,1810,2187,University Library
16,B,1002,987,Clare Library
16,B,11146,4208,English Tripos Library
16,B,5279,2277,"Hum, Soc & Pol Sciences Tripos Library"
16,B,7318,2356,Medicine Library
16,B,1213,2900,Music Tripos Library
16,B,3538,3557,Other
16,B,5942,8998,Other
