Student ID,College,Subject,Year,Social Propensity,Club Propensity,Disease State,Adapted Group Size,Gender
000000,Christ's,Architecture Tripos,1,0,0,0,7,Male
000001,Christ's,Architecture Tripos,1,0,0,0,6,Female
000002,Christ's,Architecture Tripos,2,0,0,0,4,Female
000003,Christ's,Architecture Tripos,2,0,0,0,5,Male
000004,Christ's,Architecture Tripos,3,0,0,0,6,Female
000005,Christ's,Architecture Tripos,3,0,0,0,6,Female
000006,Christ's,Asian & Middle Eastern Studies,1,0,0,0,6,Female
000007,Christ's,Asian & Middle Eastern Studies,2,0,0,0,6,Female
000008,Christ's,Asian & Middle Eastern Studies,3,0,0,0,5,Female
000009,Christ's,Chem Eng via Engineering,1,0,0,0,4,Male
000010,Christ's,Chem Eng via Engineering,2,0,0,0,5,Male
000011,Christ's,Chem Eng via Engineering,3,0,0,0,7,Male
000012,Christ's,Chem Eng via Engineering,4,0,0,0,7,Male
000013,Christ's,Chem Eng via Nat Sciences,1,0,0,0,5,Female
000014,Christ's,Chem Eng via Nat Sciences,2,0,0,0,5,Male
000015,Christ's,Chem Eng via Nat Sciences,3,0,0,0,7,Male
000016,Christ's,Classical Tripos,1,0,0,0,8,Female
000017,Christ's,Classical Tripos,1,0,0,0,12,Male
000018,Christ's,Classical Tripos,1,0,0,0,7,Male
000019,Christ's,Classical Tripos,1,0,0,0,8,Female
000020,Christ's,Classical Tripos,2,0,0,0,8,Male
000021,Christ's,Classical Tripos,2,0,0,0,7,Male
000022,Christ's,Classical Tripos,2,0,0,0,8,Female
000023,Christ's,Classical Tripos,2,0,0,0,7,Female
000024,Christ's,Classical Tripos,3,0,0,0,8,Female
000025,Christ's,Classical Tripos,3,0,0,0,8,Male
000026,Christ's,Classical Tripos,3,0,0,0,7,Male
000027,Christ's,Classical Tripos,3,0,0,0,7,Female
000028,Christ's,Classical Tripos Four Year,1,0,0,0,7,Female
000029,Christ's,Classical Tripos Four Year,1,0,0,0,7,Female
000030,Christ's,Classical Tripos Four Year,2,0,0,0,8,Female
000031,Christ's,Classical Tripos Four Year,2,0,0,0,9,Female
000032,Christ's,Classical Tripos Four Year,3,0,0,0,9,Female
000033,Christ's,Classical Tripos Four Year,3,0,0,0,10,Female
000034,Christ's,Classical Tripos Four Year,4,0,0,0,6,Male
000035,Christ's,Classical Tripos Four Year,4,0,0,0,10,Female
000036,Christ's,Computer Science Tripos,1,0,0,0,2,Male
000037,Christ's,Computer Science Tripos,1,0,0,0,6,Male
000038,Christ's,Computer Science Tripos,1,0,0,0,5,Male
000039,Christ's,Computer Science Tripos,1,0,0,0,4,Male
000040,Christ's,Computer Science Tripos,2,0,0,0,3,Male
000041,Christ's,Computer Science Tripos,2,0,0,0,4,Male
000042,Christ's,Computer Science Tripos,2,0,0,0,3,Male
000043,Christ's,Computer Science Tripos,2,0,0,0,5,Female
000044,Christ's,Computer Science Tripos,3,0,0,0,5,Male
000045,Christ's,Computer Science Tripos,3,0,0,0,5,Male
000046,Christ's,Computer Science Tripos,3,0,0,0,6,Male
000047,Christ's,Computer Science Tripos,3,0,0,0,7,Male
000048,Christ's,Economics Tripos,1,0,0,0,8,Male
000049,Christ's,Economics Tripos,1,0,0,0,6,Female
000050,Christ's,Economics Tripos,1,0,0,0,7,Male
000051,Christ's,Economics Tripos,1,0,0,0,6,Male
000052,Christ's,Economics Tripos,1,0,0,0,6,Male
000053,Christ's,Economics Tripos,1,0,0,0,7,Female
000054,Christ's,Economics Tripos,2,0,0,0,5,Male
000055,Christ's,Economics Tripos,2,0,0,0,6,Female
000056,Christ's,Economics Tripos,2,0,0,0,7,Female
000057,Christ's,Economics Tripos,2,0,0,0,6,Female
000058,Christ's,Economics Tripos,2,0,0,0,8,Female
000059,Christ's,Economics Tripos,2,0,0,0,5,Female
000060,Christ's,Economics Tripos,3,0,0,0,7,Female
000061,Christ's,Economics Tripos,3,0,0,0,9,Female
000062,Christ's,Economics Tripos,3,0,0,0,6,Male
000063,Christ's,Economics Tripos,3,0,0,0,6,Female
